Entity, GPD per capita(USD),Life satisfaction
Indonesia,10.149.604,5.314
Iran,12.698.109,4.813
Iraq,9.946.977,4.575
Ireland,71.508.734,6.907
Israel,37.306.133,7.267
Italy,40247.83,5.977
Jamaica,9.473.106,5.51
Japan,40.402.582,5.921
Jordan,10.145.837,5.303
Kazakhstan,24.290.418,5.919
Kenya,4.075.502,4.356
Kosovo,9.445.105,5.401
Kuwait,54834.39,6.239
Kyrgyzstan,4.805.141,5.185
Laos,6.543.671,4.876
Latvia,26.628.459,5.56
Lebanon,16.358.376,5.129
Liberia,16.305.844,3.622
Libya,11022.43,5.615
Lithuania,30.748.197,5.813
Luxembourg,113182.73,6.871
Madagascar,15.467.672,3.695
Malawi,14.575.037,4.156
Malaysia,24.787.824,6.005
Mali,21.397.363,4.073
Malta,39845.14,6.488
Mauritania,50.244.673,4.201
Mauritius,19.897.475,5.648
Mexico,19.268.914,6.778
Moldova,10360.83,5.897
Mongolia,11.009.715,4.907
Montenegro,10360.83,5.161
Morocco,11.009.715,5.151
Myanmar,36.631.423,4.395
Namibia,10662.83,4.574
Nepal,33.318.718,4.793
Netherlands,52.974.117,7.339
New Zealand,41.086.117,7.334
Nicaragua,5.630.296,5.992
Niger,11.315.192,3.856
